Likes,Dislikes,Subscribers,Views
649,57,2100000,22764
16,31,921000,372
32,6,634000,1703
3449,72,611000,64567
109,8,4400000,3166
9,17,634000,1048
780,12,297000,14336
228,38,8000000,20891
25,3,1000000,1886
2,1,634000,160
187,2,116000,4186
64,22,979000,5400
696,133,411000,36518
15,6,1500000,2829
223858,14572,79000,39283358
161906,7474,1500000,25085038
48652,3564,58000,7731667
106829,6896,1500000,23285030
559,26,58000,7459
7817,112,18000,268282
5408,461,79000,995027
28881,526,8500000,1280051
25372,743,1700000,1233833
8158,680,17000,1932795
4605,97,3600000,103943
5265,274,2100000,193514
104951,9986,96000,22921277
2990171,202687,1400000,497125386
491699,31306,1400000,68712727
59975,8092,13000000,1762758
44010,1750,3600000,2336148
8052,156,1700000,171732
1927,87,67000,372715
28684,2872,3200000,4422960
22475,3500,1100000,5778149
1806,22,7000,149937
10108,347,14000,1052769
12379,447,139000,838779
28290,2110,1300000,3979240
4303,74,7000,462089
581,32,676000,58504
492,39,974000,53328
15163,338,7700,1106888
24655,3577,2000000,4084825
9276,608,4700000,1360036
18321,1585,12000000,3049752
27300,2008,4700000,5412499
82779,3340,368000,4513571
30771,1699,12000,5424456
31556,320,6900000,636460
5497,481,63000,345120
13367,781,8900000,1139184
35327,2448,8900000,3854041
26466,2561,8900000,4255702
28220,2435,8900000,3535799
22598,1231,8900000,2328724
15,2,5000000,2591
415,11,336000,11161
43,3,1000000,2785
23,0,1000000,1724
28,1,1000000,1883
19,1,5000000,1280
15,2,5000000,1461
2822,757,3300000,263029
343,14,3600000,7987
205,8,232000,9029
233,9,98000,13832
100,22,8000000,9427
41,2,5000000,5935
32,5,189000,2231
94,3,336000,1205
152,13,8000000,5566
12,7,37000,17113
16086,8835,20000000,7750145
13478,7423,20000000,5164254
1362,722,0,646213
917,421,270000,419222
53783,24154,1000000,28669942
318411,21609,67000,86547554
2751,1529,0,1761301
15509,457,2200000,649396
2730,1274,313000,1295937
47648,3645,4000000,1250127
3620,40,1500000,63347
32527,15823,17000000,18658826
897692,531845,17000000,931698787
12926,7209,0,7916973
3819,835,17000,3774429
138,13,155000,6398
29682,17249,1800000,20126820
158,34,16000,1171832
40,2,785000,626
16,2,558000,410
6,1,958000,369
149,32,4800000,7428
7,1,413000,305
7,0,77000,164
9,1,413000,348
2,0,6800,27
10,0,558000,856
3902,266,13000000,380998
56611,1005,3000000,2123383
5160,47,2700000,51557
8408,146,4000000,173316
67,10,210000,12731
1059,56,348000,30929
938,27,66000,15286
5206,134,678000,165617
2102,64,874000,46984
2,1,210000,1346
838,13,85000,12705
1702,40,4900000,68543
39,23,210000,16634
6994,54,311000,133369
7789,181,642000,195920
49,33,210000,21548
2891,60,449000,75202
390,11,61000,18149
19428,3015,4700000,3027458
2430,439,19000000,183244
33846,2318,57000,12296147
1146,40,28000,65985
263,3,198000,4871
23522,599,3000000,1035595
3383,140,10000,292159
81914,3278,2700000,6944461
1959,93,20000000,78068
58799,1828,334000,1968702
52198,10811,4700000,8846364
23036,2512,4700000,3136857
79878,5511,3000000,9250333
5658,520,323000,731864
105711,1392,4000000,3132078
5541,160,1300000,402117
15687,1796,20000000,1304536
4632,219,198000,615886
136,13,0,17724
53417,623,20000,1765541
2455,34,20000,89379
19398,212,4000,544475
5345,795,1200000,1677631
126906,3635,79000,9599844
6656,82,0,237435
1025,4,4000,25041
149,0,1300,4373
995,15,20000,69467
8594,457,1000000,405731
804,7,20000,46817
30443,522,38000,1412750
65695,1068,49000,4017296
6664,67,410000,285123
1166,9,0,47646
651,7,389000,24333
53141,1475,79000,3540049
3403,22,20000,112832
5043,651,27000,5138441
94984,10147,308000,14551863
370,6,1200000,4917
57296,4290,308000,6938051
8431,73,1200000,143698
69,11,87000,3808
42341,3996,41000000,4242437
48142,4089,479000,8599473
329,46,364000,35132
4133,991,364000,728985
1430,11,752000,18157
0,0,0,184
6978,48,249000,148000
1,0,2600,3933
135,11,1700000,3601
1,0,9500,60
1951,29,76000,37511
559,11,26000,9334
47976,6411,210000,10911847
1959,42,41000,248507
1688,10,58000,37008
15126,249,58000,319813
11950,1236,200000,1250035
6828,359,6800,551825
1,0,5100,12
149,6,6100,3689
9,0,0,1810
6034,153,78000,313435
16752,808,111000,1155346
171,3,2100,2628
87,4,34000,2813
1098,12,147000,23774
8397,91,58000,190719
5797,153,58000,246868
3226,30,58000,55862
1699,50,78000,58796
299,6,246000,4149
3923,200,127000,287896
10699,665,640000,1944081
1683,50,3000000,79338
360615,25440,380000,64714965
145382,6810,10000000,4636295
101680,4752,2700000,7682358
59672,2177,2500000,6954551
3014,513,64000,498845
2427,140,18000000,81691
56620,1005,3000000,2124266
118159,9463,380000,24614470
21640,574,380000,2656460
23047,739,380000,3699834
992,29,256000,6432
36763,991,6100000,1210054
28647,6383,50000,19127312
266164,25706,157000,41368070
156091,7023,3000000,8801414
75328,837,1600000,1084309
5889,264,0,689367
1198,52,38000,54998
999,156,11000,469613
12726,2039,828000,1109311
83,27,1300,33944
38654,1000,459000,2595023
681,9,47000,13830
55313,2159,19000,5083775
1415,84,2600,111689
3281,410,15000,396696
21292,994,48000,3387645
1920,52,78000,163524
29335,556,957000,1097131
2316,53,78000,112591
3359,190,9700,187124
2604,48,134000,65801
7642,329,216000,336371
33178,994,2500000,1144817
3896,83,78000,237634
11068,713,137000,1521453
6808,100,100000,414857
1476,26,119000,126672
8702,312,27000,635800
209,149,0,522224
88338,5133,13000000,4900644
92,16,128000,8235
5475,301,724000,382129
27482,1711,3000000,2085411
165,10,636000,7731
224,103,114000,7724
74,8,1000000,2396
56338,2279,208000,7401503
136636,5019,7300000,3634634
61083,5637,7600000,4840828
8747,490,62000,950302
57006,10410,8900000,5069416
6100,5552,2300000,330347
569190,37506,1200000,68842078
37034,4459,1200000,6535605
79098,4011,13000000,4218706
70667,3332,13000000,4938597
118098,6350,13000000,7232283
12806,1123,41000000,898435
37434,3551,3400000,4577939
208,22,385000,14288
80482,6322,13000000,6039725
816,130,88000,103910
18,2,2900,3628
30636,3453,8400000,3786823
18432,2446,1100000,5126815
45635,3816,229000,5185476
1184,29,5300000,15967
735,22,393000,19415
5379,43,1400000,124622
6782,165,103000,67736
223041,20791,184000,20215243
156878,9019,1400000,8141936
31533,2132,41000000,3370218
58679,8862,4700000,11884961
8043,777,41000,1031271
10541,880,4700000,1216449
268,16,0,177235
29181,1082,626000,879297
4240,41,713000,82070
7116,854,23000,2396104
6652,440,344000,759062
104,9,1400,20495
31687,931,713000,827641
18527,688,31000,2021017
80660,7465,3500000,9558335
1284656,39028,3500000,87345609
102515,1542,6400,15877404
290682,5071,10000000,22526710
6011,494,124000,348688
46693,327,9800,2112307
58784,639,6300,3670350
27919,94,3900,947661
8425,311,25000,840127
10083,601,1900,2579644
420350,17910,3500000,57592606
309962,27111,121000,77691737
93063,3066,3500000,10802497
52029,482,1800000,5547191
96418,3124,17000,8430039
143886,9383,520000,47164124
2023,71,20000,162678
2838,31,261000,32582
16639,1503,4400000,398914
28848,728,213000,786946
6793,118,3400000,110076
745,40,174000,12557
828,24,299000,13469
4021,303,226000,174734
6773,288,171000,404474
159,13,25000,6128
1642,29,534000,51923
17622,2179,41000000,2722323
160,4,19000,1350
1369,23,85000,27199
618916,25615,9100000,28888901
2425,87,303000,38866
8846,777,700000,1786341
61011,4138,984000,4370013
3764,59,503000,59918
1741,34,394000,47571
13,4,0,8803
430,57,0,73359
26,4,1000000,1602
36,1,1000000,1399
4,2,240000,84
110,5,1000000,18296
3660,88,217000,29919
516,10,126000,11080
17988,1404,20000000,1891855
13186,170,1600000,120911
72,12,160000,8775
14,0,64000,865
112940,5151,20000000,7184004
3332,157,1800,130356
11911,724,20000000,776706
1293,11,745000,10460
2003,36,17000000,35969
2930,9,90000,31489
13272,929,371000,867017
1082,14,422000,14771
5740,157,20000000,153781
104,76,532000,3068
45,4,160000,2836
273,128,0,133320
18945,188,1500,705563
667,35,282000,138120
3470,139,41000,250323
19075,365,2000000,868752
267,27,1800,87431
545,154,1800000,105592
138,24,22000,48351
14,18,2100,6007
110,17,0,12688
330,0,1500,7745
8860,864,979000,1220626
2071,776,5000,756187
71636,828,3500,2807917
42019,187,0,3433545
83,7,9200,11514
10,3,2900,5265
197,47,282000,137916
235,194,226000,10088729
21326,635,929000,1769105
63785,4545,197000,2283886
16184,675,6900,1106057
58833,705,527000,2225065
45528,721,726000,2283296
20590,1723,286000,1049508
39051,1942,892000,3953600
3356,131,0,314684
46213,1432,892000,3789820
28997,583,1700000,4271974
243,8,0,25011
10356,372,929000,1203574
5870,173,929000,612075
14467,837,17000,1658678
43,2,43000,6079
373,14,1200,35224
4,1,0,452
2439,22,303000,36343
2648,38,229000,36567
30702,2747,229000,1897262
1717,17,84000,19392
1068,20,107000,7609
509,6,856000,5942
14189,309,78000,530235
594,8,198000,5594
579,5,72000,3724
519,6,159000,7983
237,6,93000,3183
47004,1558,159000,2086697
237,0,49000,2130
12418,56,339000,134907
293,3,27000,5863
123,0,23000,1104
141,0,3000,1279
1182,46,3000000,31416
24,0,8200,164
184,70,5800,1725322
18972,4036,1600000,3840476
61,0,140000,1327
7946,1484,1300000,2356577
392,57,5800,33717
2838,473,2100000,177750
5076,817,194000,855757
27889,3466,1300000,5548747
29108,1257,361000,1232841
69,0,177000,873
299,3,28000,2907
341,16,18000,13448
33285,8310,1300000,7733277
11070,1569,1300000,3141667
30691,3944,1300000,7336846
8972,1273,1500000,1505359
39,1,112000,1015
205,29,305000,32147
3832,566,140000,769526
425,24,7700,28820
20774,2236,9900,1540368
18885,2623,139000,1024652
135273,7956,12000,11184023
1654914,71344,556000,517034532
13469,1638,1100000,1704793
1882,41,273000,38003
4979,333,3500,398643
1633,252,608000,268247
1901,329,7700,239429
4650,155,139000,88813
21388,5399,66000,2412229
45217,2092,7900000,3199456
9903,1010,30000,371121
434,8,1100,24611
564546,83230,710000,33657535
2407,125,39000,206856
25,5,30000,1551
100061,9834,1000000,8492165
9136,452,216000,577132
674,30,271000,31901
1704120,86499,11000000,655434468
199403,7580,320000,31435459
417202,25697,4800000,54988450
83080,4081,140000,19951262
514,9,40000,21718
20583,8164,6500000,13374154
1534,135,56000,380575
10600,380,17000000,939974
901,31,527000,84503
749,68,56000,165985
2304564,116484,11000000,891708721
1621947,78097,11000000,488623038
766,140,56000,223591
1246,135,56000,322760
781,110,56000,217943
573,69,577000,84060
33306,570,3000000,659991
15619,302,11000000,618057
127908,8904,7300000,10908204
147150,1577,18000000,1681188
14689,526,2300000,791819
26339,1253,3200000,650781
14276,359,633000,399983
10096,141,1300000,381858
19600,1951,7600000,2502474
23232,1348,466000,1174853
39314,996,3000000,1209039
90281,21868,150000,10944825
97072,2491,11000000,6142725
236912,81096,2500000,55854042
1507,41,318000,59489
84616,949,10000000,3138650
51326,997,3200000,1400339
7235,533,2100000,363969
24481,550,633000,559363
76294,3138,3000000,3213528
378,117,72000,4221559
6349,1973,17000000,2306800
7382,2322,2100000,4565051
34338,15449,20000000,14454378
5,1,77000,263
13,0,413000,833
42,5,413000,1809
11,3,413000,750
10,3,1000000,744
1412,95,1300000,88106
805,114,1300000,139208
3019,270,1300000,414777
38,14,626000,11160
4989,1615,13000000,918428
220,84,199000,95997
3984,251,10000000,274463
45943,4181,3700000,3089477
59108,23852,17000000,53717807
21603,6442,17000000,15485744
5746,1680,17000000,1799692
1063,42,354000,59213
7762,2591,6400000,1897939
6133,2212,1300000,2341896
14495,5252,17000000,8423050
26396,749,593000,1766793
2362,118,5300,572892
651,69,10000,308844
5027,157,2100,674335
7437,1075,608000,1286716
16297,193,618000,339605
29765,653,8500000,2393460
57488,1126,76000,2199362
33666,1206,5300000,2422035
22544,672,320000,5780742
5494,190,1900000,329039
2119,78,0,483330
33,0,3400,6334
36542,1361,4300,2121012
27031,1218,1000000,4097052
19108,2742,5400000,2891146
11020,271,5300000,421842
565,17,1700,56659
379,21,10000,5081
11708,104,1500000,184224
16567,142,1500000,282877
43462,303,1500000,1009886
850,21,0,29443
40824,427,1500000,731507
16970,157,1500000,349270
20266,247,1500000,500474
29266,447,1500000,1219084
70860,678,1500000,2492303
23310,341,1500000,822924
31012,605,1500000,1420815
16674,242,1500000,570341
20879,188,1500000,682488
23616,613,90000,658595
1318,26,45000,25499
189,5,0,6653
42568,809,1500000,1924564
1,0,36000,1311
32767,8131,39000,10251724
2864,398,38000,683624
41,0,38000,3915
5954,92,235000,96497
402,18,33000,7031
3640,322,4300,1307295
68,7,38000,8852
3656,94,717000,76884
195,0,13000,2625
63,5,38000,8672
2477,361,38000,995876
18607,4466,32000,9835635
181,40,3100,80512
492,62,38000,128621
804,76,1800,174835
1260,166,26000,474479
144,13,38000,32868
384,44,38000,103192
295,15,4300,49173
116362,5029,1300000,22658693
26,6,1100,2232
2641,353,426000,480782
98626,7245,763000,14262607
28440,2021,1000000,2304583
11900,1043,426000,1609750
21662,3684,1000000,4888916
1805,109,426000,177248
276,10,1000000,10324
216,7,426000,11618
14777,1225,426000,2373792
15783,1279,1500000,2978318
81,3,426000,2430
6699,201,89000,392106
11924,998,56000,1154476
470,23,426000,31615
1146,97,1000000,96183
2623,31,451000,73549
33043,1843,305000,1519945
173,3,158000,4316
51659,1175,261000,2478241
14399,10012,53000,1865833
23,1,30000,695
395,12,32000,12979
397695,9901,5300000,50423710
1837,62,618000,90620
129,140,106000,2617
35575,3787,19000,2478811
4117030,256849,23000000,514957745
19381,1022,793000,3268066
89,6,42000,4458
694,28,82000,36577
7006,2116,3200,615438
6628,336,603000,161650
1751,29,448000,43999
1,0,0,52529
96,35,0,112762
2928574,163956,21000000,554713297
306311,87993,2700000,123542432
647857,75350,1000000,124967007
161381,5900,32000,39084743
678,161,7800,425867
386,25,2500000,30835
80634,24857,380000,27331373
3965,1377,187000,2257321
1541,63,19000000,64934
6566,592,211000,709727
5653943,415208,10000000,806922517
3315251,80757,23000000,504719863
3006992,147134,19000000,790923227
15038,1645,2700000,1549717
70333,3731,281000,10782421
2114,903,0,1706786
36240,7399,326000,18530530
331237,64491,1000000,82256698
20702,2710,1000000,2075150
15712,2796,2700000,3808531
1386,220,1000000,296729
160276,16517,797000,31567288
47998,709,156000,1471589
88755,19835,1000000,23230974
60415,8793,2700000,21657600
9723,702,339000,1448370
10562,3514,0,3086031
254965,94519,2400000,104266329
604,122,12000,270140
251598,23268,488000,42332842
260515,4421,4800000,11025240
45551,5146,797000,8131447
346604,54034,1600000,112779093
5512,40,1200000,106969
177114,15047,125000,38124453
13061,1920,2700000,3408194
24300,3215,1100000,6303293
13694,2635,2700000,3478349
35,3,566000,7964
74,5,1000000,3180
17,2,566000,2151
56,0,785000,2832
103,0,1000000,4903
14,0,16000,477
2,0,16000,103
14,0,353000,990
988,76,797000,101276
374673,16397,4900000,31791640
1606,151,2500000,384215
66360,5138,339000,10515591
46897,5398,1100000,6833424
46917,2366,360000,5691319
5512,40,1200000,106969
803,49,2700000,39825
44686,1917,797000,4159774
78891,1739,1400000,8551986
55637,10184,205000,20881094
14362,5146,23000,14278234
1952,1545,96000,703042
103,13,35000,16370
42899,2684,20000000,1911319
192,68,17000,119769
12050,643,339000,1260358
1625,161,12000,462349
227352,14251,1500000,45716289
48391,2265,67000,3118307
4064,91,20000000,67350
223,22,2700000,9320
159112,8109,2700000,14224374
139873,38661,191000,63960829
120,3,158000,2468
1898,381,966000,221202
217,11,92000,3289
255231,5054,3100000,34244860
100,64,69000,28401
397695,9901,5300000,50423710
150367,6737,1500000,30326316
345678,11055,1500000,61722527
225603,7140,11000000,19255701
46,2,0,1220
4325,185,83000,62321
3086,585,46000,1243587
47408,1162,10000000,2171865
55,83,69000,21841
1570035,59844,1700000,329250693
28096,1476,17000000,1285403
112930,3530,38000,4171556
215,4,1300,6942
10855,175,54000,609365
19510,1152,46000,1765624
798,47,188000,39866
48962,1001,9800000,3826451
6837,485,145000,695031
24641,258,126000,3637066
10497,513,11000000,931197
138,6,31000,2534
744650,38265,17000000,86374610
432741,11162,8800000,56998470
65515,726,2900000,1423579
24026,950,62000,3787543
47137,1696,138000,8186544
9003,109,101000,475407
690,9,10000,53159
12583,297,159000,571192
666,84,657000,158669
20351,255,170000,2264894
9805,235,88000,771550
2545,42,7900000,99088
35928,356,7900000,3195080
25326,502,6400000,2196462
32767,604,482000,3677717
64,2,9700,737
1156,149,0,256956
2050,38,3900,286764
1757,69,0,357121
1010,118,4100,383923
6389,394,10000,974529
4976,255,11000,565581
163288,2336,276000,23998768
5008,321,1500000,1758924
10,0,109000,476
28,1,93000,1758
979,28,567000,72730
173,15,4200000,11580
101,12,4200000,6362
5932,260,4200000,497252
737,33,4200000,71294
140,23,4200000,16421
0,1,18000,180
16865,603,78000,2530327
173,15,4200000,11580
202,91,20000,64250
1363,17,312000,29511
47,3,4100000,3624
110,4,15000,2757
101,12,4200000,6362
3911,41,787000,47890
10592,406,78000,2020773
763,5,141000,14310
277,13,145000,27908
800,11,124000,36203
758,15,46000,43387
6522,238,528000,306636
156,7,112000,21741
69,5,112000,4250
84,3,20000,2369
144,1,826000,3478
284223,18401,77000,57452643
241688,14234,3200000,13276843
13606,1410,3200,3382320
48547,8256,925000,2367835
120343,3418,6600000,8530140
12471,183,884000,360546
357815,14905,31000000,100518626
46239,2301,16000,8998380
676,177,532000,28618
18421,3978,12000000,8130085
674,10,1600000,20592
571102,35361,475000,122845251
605847,56594,925000,119652299
254442,13972,925000,80731644
6901,293,1100,1425592
1451,55,318000,23881
291003,7607,598000,40529376
95179,4482,729000,23887161
120758,2076,15000,12877485
110338,1400,9800000,2543926
20561,421,157000,1935978
1680,64,82000,103148
962,101,261000,36041
56079,2057,189000,19994563
17676,1825,173000,1444406
157732,1950,9800000,2926276
1635,66,248000,255462
18573,410,7700000,576658
31506,1778,87000,8701735
287039,6453,47000,33953776
79667,1308,4500,11824207
60416,869,3900,7163002
111715,777,9800000,1356340
17513,80,248000,161982
6,1,2900,1869
64881,5530,87000,19251737
167722,19420,1100000,52801477
227,21,1000000,45908
12,6,16000,2422
25,0,786000,822
61,2,1000000,6593
8,0,16000,1097
145,55,5300000,17737
15,3,1000000,1984
38,6,559000,3395
170195,16963,825000,45799615
139232,10065,188000,22866467
157155,4686,201000,11592654
59370,6188,96000,15675300
20679,2230,188000,4410826
6279,502,42000,793096
12245,1238,188000,2606841
52450,6591,42000,10668458
83427,7888,173000,20564871
50452,5675,592000,11411302
9453,52,5200000,90717
29771,2732,26000,5273414
21906,1649,1100000,2887486
65761,5911,592000,12002345
468,56,13000,646999
14217,466,3700000,2493941
6795,120,227000,146290
44149,1088,32000,6723422
2663,245,227000,60964
13872,365,11000,2845106
523,14,1000000,13945
9325,80,471000,172125
5025,35,562000,92462
321,13,7900,10281
26224,1002,3700000,4679042
18996,604,3700000,3284178
86442,5133,3700000,17233685
57036,5158,18000,20053006
2733,124,107000,98453
465,10,16000,12253
700,46,837000,158937
7592,405,43000,407436
3656671,162582,15000000,1244103256
1573074,45617,4000000,80330179
448387,15369,15000000,86118783
275250,3470,107000,11753915
12675,1046,88000,1605034
176,10,273000,23501
303,28,273000,42016
2355651,71843,22000000,269926896
811,47,977000,87380
10147,155,469000,715518
355,0,46000,3804
417606,17873,15000000,91986615
883362,21023,15000000,211798643
98329,1128,1900000,1948383
127,6,615000,6633
3261,60,282000,96262
26347,309,3600,2870675
150,45,150000,93304
629,13,138000,5366
3786,46,418000,36241
2607,125,2100000,80442
52,20,240000,5386
84,33,523000,4883
1,0,98000,300
1874,17,524000,40928
5220,47,744000,44072
1190,25,138000,23668
1060,18,44000,13360
861,15,20000,8311
271,4,22000,7158
361,1,110000,6587
1579,30,56000,16412
3652,79,1100000,89366
278,7,40000,5411
957,15,161000,9760
267,0,598000,5265
9772,98,418000,94997
1899,77,533000,34272
4213,157,169000,42099
536,10,29000,4869
120758,2076,15000,12877485
110339,1400,9800000,2543952
20561,421,157000,1935978
1680,64,82000,103148
962,101,261000,36041
56079,2057,189000,19994563
17676,1825,173000,1444406
157733,1950,9800000,2926326
1635,66,248000,255462
18573,410,7700000,576658
287040,6453,47000,33953897
79668,1308,4500,11824219
60416,869,3900,7163002
31506,1778,87000,8701735
111715,777,9800000,1356340
2325,62,173000,64780
6,3,2100,4321141
594,89,194000,394192
127105,2749,5500000,6253235
39942,1519,12000000,1614993
109177,1491,5500000,2253938
6016,879,3500,1502678
22544,4814,66000,5005603
12084,5340,66000,7729788
82236,1015,832000,5570483
63740,3144,5100000,5494165
8433,532,176000,614763
96183,12717,935000,16958613
215,52,13000,1665257
52263,4283,2400000,10620675
59,16,3400,60180
2331,206,194000,353406
187455,10628,5100000,13742741
56351,2302,9600000,2726310
320010,8739,6500000,14534071
603506,23616,365000,111497991
23405,347,742000,1334591
453654,51599,7300000,64457160
500017,10507,2100000,89614434
2211814,132518,7300000,262036476
14115,1317,3700,975217
1042890,22010,344000,139499082
260819,13650,1800000,24587693
1325365,67472,1300000,180314575
17831,644,1800,4377267
289242,8078,6500000,16888808
187624,4082,6500000,8085986
344924,13378,6500000,20169949
2417,61,145000,117673
181523,8918,795000,25123473
8134,1041,944000,2591680
19464,1024,795000,3282891
588782,49298,2100000,101776249
139233,10065,188000,22867034
417962,47971,1100000,113728860
6447,934,764000,960628
171196,16592,2900000,45301205
14709,1278,39000,2249731
55736,6542,374000,12158444
66828,7666,486000,8195818
79977,7837,1500000,19938939
18275,3014,764000,3509136
